id,employee,hire_date,department,salary,bonus
892364,Elfie Palfreeman,11/22/2020,Human Resources,"$136,759.94 ",$0.00
892365,Kendricks Goldstraw,01/12/2021,Services,"$110,832.74 ",$0.00
892366,Kaine Silly,03/13/2021,Sales,"$126,238.73 ",$0.00
892367,Ricardo Hannigane,05/03/2021,Sales,"$121,137.27 ",$0.00
892368,Saundra Lilly,03/14/2021,Training,"$95,427.76 ","$104,970.54"
892369,Tuesday Hannen,05/03/2021,Accounting,"$93,504.45 ","$102,854.90"
892370,Delila Gromley,01/14/2021,Business Development,"$132,560.59 ",$0.00
892371,Goldarina Juzek,10/03/2020,Marketing,"$127,491.90 ",$0.00
892372,Reynolds Sewter,09/26/2020,Research and Development,"$126,972.73 ",$0.00
892373,Geri Romera,01/07/2021,Legal,"$118,610.51 ",$0.00
892374,Rustie Ghiotto,10/13/2020,Support,"$69,305.38 ","$76,235.92"
892375,Maureen Bonhomme,04/30/2021,Marketing,"$140,802.01 ",$0.00
892376,Jason Khidr,08/01/2021,Marketing,"$140,751.60 ",$0.00
892377,Johnna Woodward,12/01/2020,Support,"$118,191.97 ",$0.00
892378,Ransell Emmins,04/04/2021,Support,"$143,934.36 ",$0.00
892379,Thain Schrei,08/08/2021,Sales,"$146,643.08 ",$0.00
892380,Lawry Kinnar,10/28/2020,Business Development,"$81,526.28 ","$89,678.91"
892381,Bettine Kiernan,01/28/2021,Marketing,"$59,301.14 ","$65,231.25"
892382,Isa Ainsworth,12/05/2020,Human Resources,"$75,671.85 ","$83,239.04"
892383,Barret Dumphry,11/22/2020,Marketing,"$87,750.59 ","$96,525.65"
892384,Claresta Howton,07/20/2021,Services,"$75,856.09 ","$83,441.70"
892385,Herby Vallentin,03/07/2021,Sales,"$139,754.43 ",$0.00
892386,Beatriz Alyukin,07/07/2021,Services,"$75,800.52 ","$83,380.57"
892387,Dean Cohane,08/12/2021,Human Resources,"$115,451.35 ",$0.00
892388,Prinz Dundendale,03/30/2021,Services,"$147,978.46 ",$0.00
892389,Wright Ickovicz,10/09/2020,Business Development,"$81,121.77 ","$89,233.95"
892390,Tommie Hubbert,01/02/2021,Business Development,"$143,710.79 ",$0.00
892391,Correy O'Fairy,09/03/2021,Business Development,"$99,065.32 ","$108,971.85"
892392,Nanon Eads,01/07/2021,Research and Development,"$88,164.81 ","$96,981.29"
892393,Lanny Kinforth,08/20/2021,Engineering,"$139,429.05 ",$0.00
892394,Dulcy Guidini,09/09/2020,Support,"$84,845.95 ","$93,330.55"
892395,Beth McCaughran,12/24/2020,Research and Development,"$148,625.21 ",$0.00
892396,Sacha Syddie,11/16/2020,Engineering,"$93,150.42 ","$102,465.46"
892397,Alix Gaisford,03/14/2021,Marketing,"$89,769.45 ","$98,746.40"
892398,Pryce Killcross,08/21/2021,Sales,"$80,348.37 ","$88,383.21"
892399,Corbin Fehely,05/28/2021,Business Development,"$73,367.77 ","$80,704.55"
892400,Rachele Dallas,08/02/2021,Business Development,"$81,565.33 ","$89,721.86"
892401,Shandie Cowlard,08/07/2021,Services,"$118,036.00 ",$0.00
892402,Pace Rossborough,08/10/2021,Training,"$62,434.11 ","$68,677.52"
892403,Maighdiln Saulter,11/01/2020,Support,"$70,833.11 ","$77,916.42"
892404,Garrot Smalls,06/01/2021,Sales,"$146,649.23 ",$0.00
892405,Garrick Golton,07/24/2021,Product Management,"$96,843.10 ","$106,527.41"
892406,Bab Beament,04/06/2021,Human Resources,"$89,785.26 ","$98,763.79"
892407,Rycca Gomby,07/22/2021,Product Management,"$83,479.89 ","$91,827.88"
892408,Clive Gandar,04/15/2021,Business Development,"$135,563.04 ",$0.00
892409,Christal Caps,08/20/2021,Engineering,"$134,326.29 ",$0.00
892410,Doris Chatelet,01/08/2021,Support,"$74,462.05 ","$81,908.26"
892411,Verna Lippatt,11/04/2020,Research and Development,"$123,001.62 ",$0.00
892412,Alikee Esche,04/08/2021,Services,"$124,888.19 ",$0.00
892413,Carrissa Hughill,12/27/2020,Support,"$134,761.23 ",$0.00
892414,Humfrid Skillicorn,11/11/2020,Accounting,"$138,156.07 ",$0.00
892415,Mallorie Vynarde,09/28/2020,Training,"$60,075.59 ","$66,083.15"
892416,Neville Willshire,01/16/2021,Sales,"$134,731.36 ",$0.00
892417,Tedi Millions,06/13/2021,Legal,"$103,266.56 ",$0.00
892418,Duky Boag,06/21/2021,Training,"$61,101.99 ","$67,212.19"
892419,Stace Dullard,02/28/2021,Sales,"$122,629.45 ",$0.00
892420,Lorrie Carpenter,11/20/2020,Engineering,"$147,075.60 ",$0.00
892421,Gizela Van der Son,01/27/2021,Support,"$89,391.93 ","$98,331.12"
892422,Erena Naish,10/16/2020,Marketing,"$139,666.72 ",$0.00
892423,Hurlee Baynam,06/07/2021,Product Management,"$84,370.32 ","$92,807.35"
892424,Meggie Farrar,10/25/2020,Legal,"$144,626.05 ",$0.00
892425,Venita Lorrimer,02/07/2021,Legal,"$76,431.64 ","$84,074.80"
892426,Elisabetta Quelch,02/11/2021,Business Development,"$137,220.04 ",$0.00
892427,Nikolaus Grigoli,08/05/2021,Legal,"$107,143.70 ",$0.00
892428,Amil Rymer,01/14/2021,Engineering,"$86,426.72 ","$95,069.39"
892429,Ardella Swafford,07/05/2021,Human Resources,"$73,282.97 ","$80,611.27"
892430,Juan Kantor,02/26/2021,Accounting,"$133,906.30 ",$0.00
892431,Kit Gethyn,10/21/2020,Support,"$87,746.02 ","$96,520.62"
892432,Felipe Keirl,02/05/2021,Product Management,"$149,112.29 ",$0.00
892433,Jeanne Tutsell,05/30/2021,Training,"$107,167.63 ",$0.00
892434,Perry Casemore,12/16/2020,Training,"$65,491.88 ","$72,041.07"
892435,Gayel Schoolcroft,04/20/2021,Product Management,"$133,040.53 ",$0.00
892436,Isacco Blenkensop,03/07/2021,Sales,"$87,213.49 ","$95,934.84"
892437,Brodie Laurenzi,07/27/2021,Product Management,"$71,331.81 ","$78,464.99"
892438,Chrysler Priestland,04/06/2021,Services,"$108,941.00 ",$0.00
892439,Hollyanne Collen,03/18/2021,Legal,"$138,980.12 ",$0.00
892440,Rodd Di Ruggiero,01/28/2021,Sales,"$76,699.41 ","$84,369.35"
892441,Essa Lambregts,12/27/2020,Product Management,"$104,049.10 ",$0.00
892442,Chris Carnock,06/10/2021,Sales,"$84,627.53 ","$93,090.28"
892443,Alice Plak,08/26/2021,Sales,"$109,600.14 ",$0.00
892444,Cordelia De Miranda,09/18/2020,Human Resources,"$108,621.01 ",$0.00
892445,Berthe Duchan,12/31/2020,Services,"$79,064.56 ","$86,971.02"
892446,Gerik Cobleigh,05/07/2021,Support,"$87,635.04 ","$96,398.54"
892447,Ermentrude Springell,08/31/2021,Human Resources,"$136,792.70 ",$0.00
892448,Cobby Bagenal,12/18/2020,Engineering,"$70,969.35 ","$78,066.29"
892449,Padriac Skim,10/25/2020,Research and Development,"$143,450.08 ",$0.00
892450,Lara Strathearn,09/18/2020,Research and Development,"$97,519.79 ","$107,271.77"
892451,Benn Swannie,01/15/2021,Engineering,"$120,668.74 ",$0.00
892452,Bret Djokovic,11/19/2020,Engineering,"$112,620.28 ",$0.00
892453,Davy O'Hallihane,12/14/2020,Sales,"$103,334.40 ",$0.00
892454,Noelle Elecum,05/05/2021,Legal,"$70,918.40 ","$78,010.24"
892455,Zed Ginni,09/04/2021,Business Development,"$129,638.85 ",$0.00
892456,Cilka Janusik,08/28/2021,Sales,"$115,599.41 ",$0.00
892457,Merrick Pheazey,09/11/2020,Support,"$62,680.66 ","$68,948.73"
892458,Rora Leschelle,06/29/2021,Marketing,"$106,872.13 ",$0.00
892459,Eldredge Rewbottom,09/01/2021,Product Management,"$116,806.90 ",$0.00
892460,Kirk Caspell,09/26/2020,Marketing,"$120,657.27 ",$0.00
892461,Thaddeus Chillingworth,05/18/2021,Human Resources,"$61,956.83 ","$68,152.51"
892462,Inga Monck,11/21/2020,Human Resources,"$143,480.38 ",$0.00
892463,Stan Prenty,07/04/2021,Engineering,"$127,293.66 ",$0.00
892464,Anna Fulep,04/15/2021,Product Management,"$96,317.55 ","$105,949.31"
892465,Charmine Dongate,02/27/2021,Human Resources,"$92,397.33 ","$101,637.06"
892466,Roseanne Shillabear,05/26/2021,Research and Development,"$125,394.28 ",$0.00
892467,Loreen MacAlpine,06/01/2021,Engineering,"$128,998.41 ",$0.00
892468,Nada Yare,05/31/2021,Marketing,"$57,604.66 ","$63,365.13"
892469,Jessie Jambrozek,10/05/2020,Legal,"$112,072.29 ",$0.00
892470,Uri Watmore,08/12/2021,Product Management,"$148,006.93 ",$0.00
892471,Vallie Abrehart,06/08/2021,Sales,"$79,809.66 ","$87,790.63"
892472,Archibald Adger,01/13/2021,Sales,"$100,019.21 ",$0.00
892473,Ermina Caurah,03/07/2021,Services,"$99,890.68 ","$109,879.75"
892474,Sharyl Oxteby,04/09/2021,Legal,"$60,227.51 ","$66,250.26"
892475,Tamiko Mavin,06/04/2021,Business Development,"$103,542.92 ",$0.00
892476,Carmela Donnell,10/26/2020,Research and Development,"$87,237.48 ","$95,961.23"
892477,Karim Feria,06/08/2021,Accounting,"$140,019.29 ",$0.00
892478,Coleman Churm,12/05/2020,Product Management,"$137,636.24 ",$0.00
892479,Noelani Giggie,04/09/2021,Sales,"$140,982.87 ",$0.00
892480,Lurline Ladbrook,09/01/2021,Marketing,"$118,962.64 ",$0.00
892481,Maryellen Tregunnah,09/06/2021,Human Resources,"$149,914.72 ",$0.00
892482,Chris Deelay,02/17/2021,Legal,"$80,896.74 ","$88,986.41"
892483,Issy Ginity,01/17/2021,Engineering,"$132,540.68 ",$0.00
892484,Tildi Gussin,11/28/2020,Services,"$115,093.37 ",$0.00
892485,Casey Tritten,02/05/2021,Research and Development,"$69,467.02 ","$76,413.72"
892486,Berk Smythe,12/10/2020,Human Resources,"$109,259.20 ",$0.00
892487,Guilbert Dowle,12/24/2020,Training,"$116,326.26 ",$0.00
892488,Lay Delea,06/06/2021,Product Management,"$105,474.87 ",$0.00
892489,Kikelia Basant,02/01/2021,Engineering,"$149,094.72 ",$0.00
892490,Geoffry O'Corrin,03/21/2021,Research and Development,"$114,154.93 ",$0.00
892491,Herve Woolaston,07/15/2021,Product Management,"$74,667.46 ","$82,134.21"
892492,Arie Dowdall,07/08/2021,Engineering,"$89,383.92 ","$98,322.31"
892493,Zed Harkness,05/02/2021,Sales,"$123,598.46 ",$0.00
892494,Blisse Pestricke,11/14/2020,Training,"$142,076.88 ",$0.00
892495,Josefa Airdrie,11/16/2020,Research and Development,"$133,956.03 ",$0.00
892496,Ranee Struss,03/14/2021,Training,"$141,301.30 ",$0.00
892497,Elroy Baff,05/13/2021,Sales,"$86,453.47 ","$95,098.82"
892498,Edgar Monk,09/19/2020,Training,"$76,779.72 ","$84,457.69"
892499,Bobby Josofovitz,08/16/2021,Sales,"$129,448.46 ",$0.00
892500,Nickola Antoniou,12/17/2020,Sales,"$119,063.60 ",$0.00
892501,Jessee Spilisy,04/27/2021,Research and Development,"$60,877.60 ","$66,965.36"
892502,Fred Daens,03/04/2021,Sales,"$139,953.41 ",$0.00
892503,Augustine Sterman,12/11/2020,Marketing,"$76,504.18 ","$84,154.60"
892504,Kary Andres,12/06/2020,Accounting,"$113,841.48 ",$0.00
892505,Jasen Pitcock,09/24/2020,Human Resources,"$79,740.63 ","$87,714.69"
892506,Lockwood Magson,03/06/2021,Services,"$103,723.49 ",$0.00
892507,Frazier Dunsmuir,04/29/2021,Business Development,"$69,271.36 ","$76,198.50"
892508,Kurtis Meins,07/17/2021,Training,"$85,355.42 ","$93,890.96"
892509,Lee Blackborn,08/10/2021,Research and Development,"$71,243.97 ","$78,368.37"
892510,Karlis Rao,02/22/2021,Training,"$76,507.37 ","$84,158.11"
892511,Dolly Kubiczek,07/07/2021,Sales,"$125,788.01 ",$0.00
892512,Vally Frodsham,04/30/2021,Research and Development,"$70,374.42 ","$77,411.86"
892513,Brett Flatte,12/12/2020,Business Development,"$57,326.94 ","$63,059.63"
892514,Albie Mara,03/21/2021,Human Resources,"$109,508.19 ",$0.00
892515,Hadrian Greaves,01/17/2021,Engineering,"$61,019.68 ","$67,121.65"
892516,Kennett Common,10/31/2020,Product Management,"$145,442.68 ",$0.00
892517,Klement Demaid,05/07/2021,Business Development,"$55,373.79 ","$60,911.17"
892518,Hilde Halbert,01/11/2021,Product Management,"$124,196.75 ",$0.00
892519,Ricca Hundal,12/16/2020,Accounting,"$136,212.91 ",$0.00
892520,Costa Coda,06/15/2021,Training,"$87,756.57 ","$96,532.23"
892521,Camala Gibbeson,08/21/2021,Support,"$149,114.40 ",$0.00
892522,Far Rawstron,08/02/2021,Accounting,"$88,901.66 ","$97,791.83"
892523,Marmaduke Alster,10/06/2020,Accounting,"$91,768.13 ","$100,944.94"
892524,Falkner Claughton,10/02/2020,Engineering,"$126,144.34 ",$0.00
892525,Edythe Beechcraft,03/08/2021,Human Resources,"$143,516.75 ",$0.00
892526,Eadie Vallentin,04/24/2021,Human Resources,"$117,730.91 ",$0.00
892527,Tan Bever,04/16/2021,Product Management,"$66,713.40 ","$73,384.74"
892528,Daria Dankersley,05/11/2021,Engineering,"$64,663.66 ","$71,130.03"
892529,Nahum Clackers,07/04/2021,Legal,"$131,402.85 ",$0.00
892530,Fairlie Chaunce,03/12/2021,Business Development,"$106,317.14 ",$0.00
892531,Thorvald Giffen,06/05/2021,Training,"$91,499.80 ","$100,649.78"
892532,Staford Turfes,06/12/2021,Product Management,"$144,245.74 ",$0.00
892533,Bronson Briamo,05/28/2021,Human Resources,"$65,760.59 ","$72,336.65"
892534,Constantia Elion,05/31/2021,Training,"$107,541.94 ",$0.00
892535,Giordano Weems,09/01/2021,Engineering,"$60,933.38 ","$67,026.72"
892536,Nickie Whitwell,06/19/2021,Training,"$61,063.75 ","$67,170.13"
892537,Connie Tallis,07/09/2021,Marketing,"$67,765.80 ","$74,542.38"
892538,Chanda O'Beirne,05/13/2021,Legal,"$67,646.83 ","$74,411.51"
892539,Elfie Duggary,04/24/2021,Services,"$138,306.45 ",$0.00
892540,Jacintha Spedroni,05/19/2021,Accounting,"$94,891.30 ","$104,380.43"
892541,Casey Defrain,03/25/2021,Business Development,"$84,139.02 ","$92,552.92"
892542,Ingrim Laxon,09/05/2021,Business Development,"$93,244.26 ","$102,568.69"
892543,Lemmy Jollye,02/14/2021,Sales,"$96,038.93 ","$105,642.82"
892544,Berri Landsbury,06/03/2021,Support,"$130,130.60 ",$0.00
892545,Spence Wass,03/04/2021,Marketing,"$69,900.69 ","$76,890.76"
892546,Bayard Drinkeld,06/11/2021,Engineering,"$146,809.29 ",$0.00
892547,Cleveland Gerran,02/21/2021,Legal,"$56,300.19 ","$61,930.21"
892548,Jennine Popescu,07/09/2021,Legal,"$114,249.63 ",$0.00
892549,Loella Duker,08/14/2021,Marketing,"$83,444.38 ","$91,788.82"
892550,Davy Ohrtmann,05/17/2021,Services,"$131,670.45 ",$0.00
892551,Cati Swiers,07/31/2021,Research and Development,"$139,036.15 ",$0.00
892552,Hephzibah Burgoin,12/12/2020,Engineering,"$85,453.71 ","$93,999.08"
892553,Gilberta Lumpkin,05/03/2021,Services,"$61,648.32 ","$67,813.15"
892554,Sher Goard,03/28/2021,Research and Development,"$79,846.71 ","$87,831.38"
892555,Kimball Rehor,02/12/2021,Human Resources,"$60,068.71 ","$66,075.58"
892556,Romola Fortoun,05/13/2021,Sales,"$132,641.34 ",$0.00
892557,Parsifal Gudgeon,05/20/2021,Engineering,"$137,782.62 ",$0.00
892558,Jerad Bunkle,11/07/2020,Business Development,"$106,206.86 ",$0.00
892559,Ursa Quinion,05/03/2021,Legal,"$136,899.85 ",$0.00
892560,Christophe Varnes,07/17/2021,Product Management,"$69,439.80 ","$76,383.78"
892561,Nikola Jay,12/26/2020,Marketing,"$129,349.29 ",$0.00
892562,Boniface Farris,10/08/2020,Product Management,"$86,408.66 ","$95,049.53"
892563,Eleanore Cantopher,06/04/2021,Product Management,"$55,377.10 ","$60,914.81"
892564,Tomasina Seckom,05/12/2021,Marketing,"$148,355.86 ",$0.00
892565,Eamon Spurriar,01/21/2021,Support,"$83,291.22 ","$91,620.34"
892566,Floyd Josefowicz,01/05/2021,Support,"$133,814.26 ",$0.00
892567,Pattin Camlin,11/04/2020,Accounting,"$60,917.58 ","$67,009.34"
892568,Delmor Thaw,04/01/2021,Human Resources,"$95,433.36 ","$104,976.70"
892569,Arne Van den Dael,05/30/2021,Business Development,"$105,852.88 ",$0.00
892570,Liza Batalle,01/03/2021,Support,"$115,759.35 ",$0.00
892571,Free Ambrosoli,08/03/2021,Engineering,"$56,558.86 ","$62,214.75"
892572,Daniella Bachelor,11/20/2020,Training,"$67,034.65 ","$73,738.12"
892573,Sonnnie Casotti,07/13/2021,Legal,"$58,990.29 ","$64,889.32"
892574,Cecily Grundell,06/01/2021,Training,"$55,145.54 ","$60,660.09"
892575,Gordon McLuckie,11/20/2020,Sales,"$101,867.04 ",$0.00
892576,Murray Lillow,02/07/2021,Marketing,"$105,141.63 ",$0.00
892577,Dareen Tremethack,11/02/2020,Engineering,"$84,837.15 ","$93,320.87"
892578,Lanny Tagg,04/16/2021,Accounting,"$103,752.70 ",$0.00
892579,Angelia Curtain,05/06/2021,Legal,"$143,064.44 ",$0.00
892580,Baudoin Stapleton,09/06/2021,Sales,"$125,952.05 ",$0.00
892581,Brooke Merioth,12/07/2020,Research and Development,"$82,802.61 ","$91,082.87"
892582,Otto Wardingly,03/04/2021,Accounting,"$103,274.51 ",$0.00
892583,Mela Burrel,10/22/2020,Marketing,"$105,548.42 ",$0.00
892584,Lynda Pracy,04/09/2021,Training,"$149,940.17 ",$0.00
892585,Darill Dorcey,08/29/2021,Marketing,"$141,058.67 ",$0.00
892586,Brittan Lindblad,05/03/2021,Engineering,"$143,751.82 ",$0.00
892587,Everett Blagdon,11/17/2020,Business Development,"$121,944.47 ",$0.00
892588,Marielle Lamey,10/02/2020,Human Resources,"$106,890.32 ",$0.00
892589,Jermayne Gatchel,10/16/2020,Sales,"$116,771.30 ",$0.00
892590,Emmey Ashleigh,04/29/2021,Training,"$57,988.95 ","$63,787.85"
892591,Launce Dutch,01/15/2021,Research and Development,"$129,469.45 ",$0.00
892592,Ladonna Rijkeseis,09/08/2020,Training,"$92,238.43 ","$101,462.27"
892593,Karia Durward,05/20/2021,Legal,"$57,890.27 ","$63,679.30"
892594,Opalina Halhead,11/28/2020,Sales,"$87,362.13 ","$96,098.34"
892595,Daven Everley,08/25/2021,Research and Development,"$75,771.70 ","$83,348.87"
892596,Aylmar Topper,08/01/2021,Marketing,"$115,843.97 ",$0.00
892597,Elise Hilley,07/11/2021,Training,"$108,822.92 ",$0.00
892598,Annabal Firbanks,01/06/2021,Sales,"$111,341.55 ",$0.00
892599,Jake Quinsee,04/03/2021,Marketing,"$113,619.57 ",$0.00
892600,Essa Jago,05/04/2021,Engineering,"$96,685.85 ","$106,354.44"
892601,Eirena Harold,12/28/2020,Accounting,"$142,706.26 ",$0.00
892602,Boniface Brimm,08/27/2021,Support,"$108,216.77 ",$0.00
892603,Terrell Neilus,02/27/2021,Sales,"$125,060.04 ",$0.00
892604,Eldon Woolam,06/04/2021,Support,"$86,055.78 ","$94,661.36"
892605,Lila Eveling,11/10/2020,Support,"$84,143.20 ","$92,557.52"
892606,Seward Shaves,10/22/2020,Research and Development,"$121,888.43 ",$0.00
892607,Dominique Murphy,09/16/2020,Business Development,"$100,904.40 ",$0.00
892608,Rosco Heinzel,04/23/2021,Research and Development,"$129,284.67 ",$0.00
892609,Howard Goodrum,07/17/2021,Sales,"$73,278.89 ","$80,606.78"
892610,Kimmy Setterfield,08/18/2021,Legal,"$136,775.05 ",$0.00
892611,Ceil Suddick,11/29/2020,Legal,"$113,141.91 ",$0.00
892612,Alano Tumasian,09/12/2020,Accounting,"$63,051.84 ","$69,357.02"
892613,Marysa Mordacai,07/05/2021,Engineering,"$58,557.02 ","$64,412.72"
892614,Ronalda Castro,01/04/2021,Human Resources,"$66,635.24 ","$73,298.76"
892615,Shir Roskruge,11/24/2020,Product Management,"$128,855.62 ",$0.00
892616,Karry Langstone,12/12/2020,Services,"$122,767.99 ",$0.00
892617,Albina Hawkes,06/16/2021,Product Management,"$111,868.93 ",$0.00
892618,Rancell Gunderson,05/26/2021,Marketing,"$72,796.15 ","$80,075.77"
892619,Griffith Diglin,03/05/2021,Research and Development,"$69,734.53 ","$76,707.98"
892620,Lorenza Blanchard,04/29/2021,Training,"$149,025.54 ",$0.00
892621,Simon Phlippi,02/11/2021,Research and Development,"$122,710.39 ",$0.00
892622,Rosemarie Insley,01/13/2021,Business Development,"$104,973.36 ",$0.00
892623,Kellby Ingall,01/19/2021,Legal,"$74,920.93 ","$82,413.02"
892624,Karney Kleisle,05/08/2021,Support,"$57,777.24 ","$63,554.96"
892625,Gillian Myton,08/14/2021,Sales,"$120,662.67 ",$0.00
892626,Kaspar Lansbury,01/20/2021,Human Resources,"$76,338.35 ","$83,972.19"
892627,Alfie Felce,07/18/2021,Engineering,"$113,211.06 ",$0.00
892628,Bartholomeus Izen,10/22/2020,Accounting,"$111,331.41 ",$0.00
892629,Tawsha Glaister,07/14/2021,Services,"$58,585.26 ","$64,443.79"
892630,Eddi Dyzart,02/14/2021,Training,"$137,890.36 ",$0.00
892631,Dolorita Alyutin,01/27/2021,Research and Development,"$131,117.30 ",$0.00
892632,Carrol Croizier,08/29/2021,Research and Development,"$77,853.00 ","$85,638.30"
892633,Bryana Breslin,08/20/2021,Research and Development,"$107,303.85 ",$0.00
892634,Josselyn Bladen,09/22/2020,Human Resources,"$102,890.57 ",$0.00
892635,Marlo Thody,11/08/2020,Legal,"$105,965.00 ",$0.00
892636,Giustina Christofe,08/18/2021,Human Resources,"$126,814.86 ",$0.00
892637,Hermione Chable,01/29/2021,Support,"$77,107.70 ","$84,818.47"
892638,Charisse Cosgrive,02/23/2021,Support,"$132,886.28 ",$0.00
892639,Waldemar Keirl,05/08/2021,Support,"$140,972.04 ",$0.00
892640,Cyrille Impleton,10/14/2020,Services,"$81,949.44 ","$90,144.38"
892641,Teodoor Emsden,01/05/2021,Engineering,"$86,558.20 ","$95,214.02"
892642,Prisca Treadaway,09/02/2021,Accounting,"$102,842.19 ",$0.00
892643,Kaela Jaxon,05/09/2021,Support,"$146,055.78 ",$0.00
892644,Elianora Burry,10/15/2020,Accounting,"$63,945.74 ","$70,340.31"
892645,Theodosia Sambell,10/08/2020,Training,"$147,807.09 ",$0.00
892646,Salomo Dran,12/05/2020,Marketing,"$66,881.76 ","$73,569.94"
892647,Timmie Fridaye,03/04/2021,Sales,"$110,234.47 ",$0.00
892648,Mirabelle McElvogue,11/21/2020,Training,"$80,401.35 ","$88,441.49"
892649,Sasha Chrishop,01/30/2021,Legal,"$83,906.47 ","$92,297.12"
892650,Thorstein Pedlingham,04/11/2021,Engineering,"$140,260.68 ",$0.00
892651,Marten Screach,01/01/2021,Support,"$130,526.79 ",$0.00
892652,Damara Merigot,08/20/2021,Legal,"$75,686.54 ","$83,255.19"
892653,Ray Mariotte,10/18/2020,Marketing,"$55,905.54 ","$61,496.09"
892654,Fedora Sturgis,06/24/2021,Services,"$125,298.05 ",$0.00
892655,Marcelline Dumpleton,09/03/2021,Business Development,"$114,480.21 ",$0.00
892656,Pincus Fagan,09/03/2021,Marketing,"$61,874.46 ","$68,061.91"
892657,Maxie Drains,05/30/2021,Legal,"$109,450.05 ",$0.00
892658,Damiano Blaxall,05/15/2021,Human Resources,"$134,655.35 ",$0.00
892659,Carilyn Niess,12/11/2020,Engineering,"$65,802.42 ","$72,382.66"
